Country	Population	Languages
Macau	592731	Cantonese:83.3 Mandarin:5 Hokkien:3.7 English:2.3 other:2 Tagalog:1.7 Portuguese:0.7
Macedonia	2096015	Macedonian:66.5 Albanian:25.1 Turkish:3.5 Roma:1.9 Serbian:1.2
Madagascar	23812681	Malagasy:93 English:1
Malawi	17964697	Chichewa:33 Lomwe:10 Yao:5
Malaysia	30513848	Bahasa:43 Cantonese:14 Mandarin:2 Thai:1
Maldives	393253	Dhivehi:91
Mali	16955536	French:46.3 Peul/Foulfoulbe:9.4 Dogon:7.2 Maraka/Soninke:6.4 Malinke:5.6 Sonrhai/Djerma:5.6 Minianka:4.3 Tamacheq:3.5 Senoufo:2.6 Bobo:2.1
Malta	413965	Maltese:90.1 English:6
Marshall Islands	72191	Marshallese:98.2
Mauritania	3596702	Hassaniyya:87 Wolof:7
Mauritius	1339827	Creole:86.5 Bhojpuri:5.3 French:4.1
Mexico	121736809	Spanish:92.7
Federated States of Micronesia	105216	English:21 Chuukese:48 Kosrean:2 Pohnpeian:1 Yapese:1
Moldova	3546847	Moldovan:58.8 Russian:16 Ukrainian:3.8 Gagauz:3.1
Monaco	37731	French:80 English:5 Italian:10 Ligurian:3
Mongolia	2992908	Khalkha:90
Montenegro	647073	Serbian:42.9 Montenegrin:37 Bosnian:5.3 Albanian:5.3 Serbo-Croat:2 other:3.5 unspecified:4
Montserrat	5241	English:100
Morocco	33322699	Arabic:62 Berber:21 French:7
Mozambique	25303113	Emakhuwa:25.3 Portuguese:10.7 Xichangana:10.3 Cisena:7.5 Elomwe:7 Echuwabo:5.1
Namibia	2212307	Oshiwambo:48.9 Damara:11.3 Afrikaans:10.4 Kavango:8.5 Caprivi:4.8 English:3.4
Nauru	9540	Nauruan:93
Nepal	31551305	Nepali:44.6 Maithali:11.7 Bhojpuri:6 Tharu:5.8 Tamang:5.1 Newar:3.2 Magar:3 Bajjika:3 Urdu:2.6 Avadhi:1.9 Limbu:1.3 Gurung:1.2
Netherlands	16947904	Dutch:97 Frisian:2
New Caledonia	271615	French:33
New Zealand	4438393	English:89.8 Maori:3.5 Samoan:2 Hindi:1.6 French:1.2 Northern:1.2 Yue:1
Nicaragua	5907881	Spanish:95.3 Miskito:2.2 Mestizo:2
Nigeria	181562056	Hausa:98 Yoruba:1
Niger	18045729	Hausa:46 Djerma:15 Tamajaq:2 Fulfulde:2
Niue	1190	Niuean:46 English:11
Norfolk Island	2210	English:67.6 other:32.4
Northern Mariana Islands	52344	Philippine:32.8 Chamorro:24.1 English:17 other:10.1 Chinese:6.8 other:7.3 other:1.9
Norway	5207689	Norwegian:92 Swedish:2 Danish:1 Sami:1 Finnish:1
Oman	3286936	Arabic:92 English:2 Baluchi:1 Urdu:1
Pakistan	199085847	Punjabi:48 Sindhi:12 Saraiki:10 Pashto:8 Urdu:8 Balochi:3 Hindko:2 Brahui:1 English:8
Palau	21265	Palauan:66.6 Carolinian:0.7 other:0.7 English:15.5 Filipino:10.8 Chinese:1.8 other:2.6
Panama	3657024	Spanish:93 Ngabere:1
Papua New Guinea	6672429	Tok:12
Paraguay	6783272	Spanish:41 Guarani:47
Peru	30444999	Spanish:84.1 Quechua:13 Aymara:1.7 Ashaninka:0.3
Philippines	100998376	Tagalog:38 Filipino:23 Cebuano:21
Pitcairn Islands	48	English:100
Poland	38562189	Polish:98.2 Silesian:1.4
Portugal	10825309	Portuguese:94 Mirandese:3
Puerto Rico	3598357	Spanish:98
Qatar	2194817	Arabic:97
Romania	21666350	Romanian:85.4 Hungarian:6.3 Romany:1.2
Russia	142423773	Russian:85.7 Tatar:3.2 Chechen:1
Rwanda	12661733	Kinyarwanda:93.2 Kinyarwanda:6.2 French:0.1 English:0.1 Swahili:0.02
Saint Barthelemy	7237	French:98
Saint Helena, Ascension, and Tristan da Cunha	7795	English:100
Saint Kitts and Nevis	51936	English:100
Saint Lucia	163922	English:92
Saint Martin	31754	French:78 English:14 Dutch:4
Saint Pierre and Miquelon	5657	French:100
Saint Vincent and the Grenadines	102627	English:100
San Marino	33020	Italian:100
Sao Tome and Principe	194006	Saotomese:56.4 Portuguese:24.2 Cabo:8.5 Angolar:6.6 French:3.8 English:2.9 Lunguie:1
Saudi Arabia	27752316	Arabic:97
